epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25023,3.20528,3.8556,1.40988,0.00167,0.00271,0.00093,0.00043,2.57836,3.69548,1.19363,0,0,0
2,13.7422,2.98537,3.78837,1.31866,0.00167,0.00271,0.00091,0.00052,2.44762,3.68151,1.15646,1.9802e-05,1.9802e-05,1.9802e-05
3,20.0167,2.11644,3.74781,1.1059,0.00167,0.00271,0.00096,0.00057,2.26405,3.66167,1.10342,3.9208e-05,3.9208e-05,3.9208e-05
4,26.8512,1.92175,3.70282,1.05101,0.00167,0.00271,0.00101,0.00058,2.01393,3.64089,1.03501,5.8218e-05,5.8218e-05,5.8218e-05
5,33.1942,1.89844,3.60297,1.01981,0.00333,0.00542,0.00192,0.00075,1.77747,3.62172,0.97107,7.6832e-05,7.6832e-05,7.6832e-05
6,40.0019,1.90923,3.54166,0.98728,0.01,0.01626,0.0058,0.00259,1.67593,3.60301,0.92646,9.505e-05,9.505e-05,9.505e-05
7,45.8735,2.15452,3.42008,0.99494,0.055,0.08943,0.03488,0.01306,1.7364,3.55754,0.89659,0.000112872,0.000112872,0.000112872
8,55.319,2.21413,3.29143,0.9881,0.12167,0.19783,0.07726,0.02922,1.86269,3.49349,0.88275,0.000130298,0.000130298,0.000130298
9,62.4135,2.09433,3.1066,0.9178,0.15417,0.25068,0.0973,0.04228,1.95366,3.43082,0.87986,0.000147328,0.000147328,0.000147328
10,69.0384,1.94296,2.92221,0.94237,0.1625,0.26423,0.1044,0.05012,1.94682,3.38365,0.8778,0.000163962,0.000163962,0.000163962
11,75.7531,1.9167,2.76007,0.92312,0.1525,0.24797,0.09942,0.05019,1.84298,3.34842,0.86766,0.0001802,0.0001802,0.0001802
12,81.6746,1.56363,2.44643,0.87168,0.14583,0.23713,0.09448,0.04491,1.72189,3.32227,0.85809,0.000196042,0.000196042,0.000196042
13,87.1819,1.4393,2.09567,0.87042,0.09083,0.1477,0.05417,0.02022,1.61895,3.31185,0.85332,0.000211488,0.000211488,0.000211488
14,93.189,1.83644,1.90504,0.8944,0.03833,0.06233,0.04065,0.00928,1.58618,3.27782,0.85118,0.000226538,0.000226538,0.000226538
15,98.9687,1.65381,1.81414,0.86874,0.03917,0.06369,0.06441,0.01302,1.69317,3.19709,0.85907,0.000241192,0.000241192,0.000241192
16,104.447,1.42751,1.26473,0.87076,0.09917,0.16125,0.16327,0.06472,1.70865,3.05698,0.86143,0.00025545,0.00025545,0.00025545
17,112.337,1.43624,1.21689,0.87618,0.17417,0.2832,0.30495,0.14019,1.64722,2.94487,0.85163,0.000269312,0.000269312,0.000269312
18,118.078,1.86789,1.30814,0.88769,0.17417,0.2832,0.30495,0.14019,1.64722,2.94487,0.85163,0.000282778,0.000282778,0.000282778
19,125.669,1.76621,1.31946,0.87225,0.2525,0.41057,0.4499,0.18187,1.65696,2.83541,0.85008,0.000295848,0.000295848,0.000295848
20,133.375,1.62602,1.23768,0.84733,0.2525,0.41057,0.4499,0.18187,1.65696,2.83541,0.85008,0.000308522,0.000308522,0.000308522
21,139.345,1.4095,1.08303,0.86585,0.31167,0.50678,0.54972,0.22617,1.71279,2.70579,0.8531,0.0003208,0.0003208,0.0003208
22,145.089,1.422,1.03327,0.85088,0.31167,0.50678,0.54972,0.22617,1.71279,2.70579,0.8531,0.000332682,0.000332682,0.000332682
23,151.584,1.71518,1.30641,0.84279,0.365,0.5935,0.63677,0.27754,1.80152,2.57863,0.86525,0.000344168,0.000344168,0.000344168
